major_category,mid_category,unique_docs,total_assignments
"#생산","절단가공",1,1
"#서비스","양조사",1,1
"#서비스","기타",15,15
"#서비스","영양사",1,1
"#서비스","호텔리어",1,1
"#서비스","GRO(컨시어지)",1,1
"#서비스","정비기사",1,1
"#서비스","A/S기사",1,1
"#서비스","가전제품설치",1,1
"#서비스","주차요원",1,1
"#서비스","행사도우미",1,1
"#서비스","스타일리스트",1,1
"#서비스","바리스타",1,1
"#서비스","지상직",1,1
"#연구·r&d","기타",128,128
"#연구·r&d","R&D",195,195
"#연구·r&d","R&D기획",42,42
"#연구·r&d","연구원",67,67
"#연구·r&d","CRA(임상연구원)",3,3
"#연구·r&d","CRC(연구간호사)",1,1
"#연구·r&d","임상PM",2,2
"#연구·r&d","CRM(임상연구전문가)",2,2
"#연구·r&d","로봇엔지니어",2,2
"#연구·r&d","인증심사원",3,3
"#연구·r&d","대기측정분석사",1,1
"#연구·r&d","임상DM",1,1
"#영업·판매·무역","영업",283,283
"#영업·판매·무역","영업관리",88,88
"#영업·판매·무역","영업마케팅",22,22
"#영업·판매·무역","제약영업",14,14
"#영업·판매·무역","영업직",61,61
"#영업·판매·무역","무역MR",6,6
"#영업·판매·무역","영업전략",31,31
"#영업·판매·무역","영업기획",33,33
"#영업·판매·무역","영업MD",10,10
"#영업·판매·무역","의료기기영업",9,9
"#영업·판매·무역","영업지원",24,24
"#영업·판매·무역","해외영업",77,77
"#영업·판매·무역","해상무역",9,9
"#영업·판매·무역","기술영업",47,47
"#영업·판매·무역","영업판촉",9,9
"#영업·판매·무역","자재판매",3,3
"#영업·판매·무역","장비영업",11,11
"#영업·판매·무역","기타",6,6
"#영업·판매·무역","솔루션기술영업",5,5
"#영업·판매·무역","IT영업",3,3
"#영업·판매·무역","시스템영업",4,4
"#영업·판매·무역","SI영업",2,2
"#영업·판매·무역","자동차영업",3,3
"#영업·판매·무역","기계판매",2,2
"#영업·판매·무역","무역사무원",3,3
"#영업·판매·무역","온라인판매",3,3
"#영업·판매·무역","의류무역",6,6
"#영업·판매·무역","무역경리",4,4
"#영업·판매·무역","국제무역사",3,3
"#영업·판매·무역","화장품판매",2,2
"#영업·판매·무역","화장품영업",6,6
"#영업·판매·무역","가구판매",1,1
"#영업·판매·무역","가전판매",1,1
"#영업·판매·무역","해외시장개척",14,14
"#영업·판매·무역","무역중개인",4,4
"#영업·판매·무역","부동산영업",1,1
"#영업·판매·무역","호텔영업",1,1
"#영업·판매·무역","포워더",9,9
"#영업·판매·무역","증권영업",1,1
"#영업·판매·무역","상조영업",1,1
"#영업·판매·무역","광고영업",1,1
"#영업·판매·무역","네트워크영업",3,3
"#영업·판매·무역","항공무역",4,4
"#영업·판매·무역","잡화판매",1,1
"#영업·판매·무역","주류영업",1,1
"#영업·판매·무역","식품/음료영업",5,5
"#영업·판매·무역","건강식품판매",1,1
"#영업·판매·무역","식품/음료판매",3,3
"#영업·판매·무역","건설영업",3,3
"#영업·판매·무역","샵마스터",1,1
"#영업·판매·무역","판매직",1,1
"#영업·판매·무역","보세사",1,1
"#운전·운송·배송","운전",14,14
"#운전·운송·배송","통관",16,16
"#운전·운송·배송","배차관리",4,4
"#운전·운송·배송","선적",4,4
"#운전·운송·배송","항공운송",4,4
"#운전·운송·배송","해상운송",5,5
"#운전·운송·배송","포워더",9,9
"#운전·운송·배송","적재/하역",1,1
"#운전·운송·배송","철도운송",1,1
"#운전·운송·배송","육상운송",1,1
"#운전·운송·배송","보세운송",1,1
"#의료","MR",11,11
"#의료","CRA(임상연구원)",3,3
"#의료","기타",29,29
"#의료","심리치료사",3,3
"#의료","상담실장",1,1
"#의료","초음파사",1,1
"#의료","간호사",3,3
"#의료","CRC(연구간호사)",1,1
"#의료","임상병리사",3,3
"#의료","영양사",1,1
"#의료","CRM(임상연구전문가)",2,2
"#의료","약사",6,6
"#의료","간호조무사",1,1
"#의료","보건관리자",12,12
"#의료","의공기사",1,1
"#인사·노무·hrd","기타",783,783
"#인사·노무·hrd","인사",71,71
"#인사·노무·hrd","HRD",55,55
"#인사·노무·hrd","채용담당자",11,11
"#인사·노무·hrd","HRM",22,22
"#인사·노무·hrd","ER(노무관리)",11,11
"#인사·노무·hrd","HR컨설팅",3,3
"#인사·노무·hrd","노무사",3,3
"#총무·법무·사무","총무",120,120
"#총무·법무·사무","법무",98,98
"#총무·법무·사무","변호사",4,4
"#총무·법무·사무","법무사",4,4
"#총무·법무·사무","사내변호사",3,3
"#총무·법무·사무","사무직",56,56
"#총무·법무·사무","비서",10,10
"#총무·법무·사무","송무비서",4,4
"#총무·법무·사무","수행비서",2,2
"#총무·법무·사무","임원비서",2,2
"#총무·법무·사무","기타",34,34
"#총무·법무·사무","서무",7,7
"#총무·법무·사무","법률사무원",1,1
"#총무·법무·사무","변리사",2,2
"#총무·법무·사무","컴플라이언스",5,5
"#총무·법무·사무","특허명세사",2,2
"#회계·세무·재무","감사",23,23
"#회계·세무·재무","회계",115,115
"#회계·세무·재무","재무",104,104
"#회계·세무·재무","회계사",4,4
"#회계·세무·재무","전산회계",18,18
"#회계·세무·재무","IR/공시",4,4
"#회계·세무·재무","경리",13,13
"#회계·세무·재무","세무사",5,5
"#회계·세무·재무","KICPA",1,1
"#회계·세무·재무","AICPA",1,1
"#회계·세무·재무","공인회계사",1,1
"#회계·세무·재무","CFA",1,1
"#회계·세무·재무","행정사",1,1
"#회계·세무·재무","기타",1,1
"기타","기타",18,18
