major_category,mid_category,size,representative_count,rec_ids
"#디자인","잡화디자인",1,1,"50021822"
"#디자인","건축디자인",1,1,"50050737"
"#디자인","가구디자인",1,1,"50087358"
"#디자인","표지디자인",1,1,"50090702"
"#디자인","자동차디자인",1,1,"50400958"
"#디자인","전시디자인",1,1,"50416138"
"#디자인","BI디자인",1,1,"50418029"
"#디자인","패브릭디자인",1,1,"50468006"
"#디자인","애니메이터",1,1,"50497524"
"#마케팅·홍보·조사","마케팅",171,3,"50098069,50208674,50176202"
"#마케팅·홍보·조사","홍보",135,3,"50098069,50181656,50208674"
"#마케팅·홍보·조사","마케팅기획",58,3,"50098069,50208674,50272598"
"#마케팅·홍보·조사","마케팅전략",42,3,"50098069,50208674,50272598"
"#마케팅·홍보·조사","콘텐츠기획",28,3,"50098069,50263007,50425702"
"#마케팅·홍보·조사","온라인마케팅",22,3,"50272598,50407336,50425702"
"#마케팅·홍보·조사","광고마케팅",21,3,"50208674,50272598,50480777"
"#마케팅·홍보·조사","디지털마케팅",21,3,"50480777,50272598,50176202"
"#마케팅·홍보·조사","콘텐츠마케팅",20,3,"50098069,50425702,50496250"
"#마케팅·홍보·조사","기업홍보",19,3,"50397332,50430377,50480777"
"#마케팅·홍보·조사","브랜드마케팅",19,3,"50384856,50208674,50272598"
"#마케팅·홍보·조사","글로벌마케팅",17,3,"50386516,50390005,50288678"
"#마케팅·홍보·조사","바이럴마케팅",12,3,"50272598,50480777,50426974"
"#마케팅·홍보·조사","인플루언서마케팅",12,3,"50315206,50431321,50472296"
"#마케팅·홍보·조사","행사기획",11,3,"50263007,50385798,50438363"
"#마케팅·홍보·조사","AE(광고기획자)",10,3,"50498368,50359475,50413945"
"#마케팅·홍보·조사","콘텐츠에디터",10,3,"50442712,50472296,50413945"
"#마케팅·홍보·조사","기타",7,3,"50086763,50243598,50507936"
"#마케팅·홍보·조사","오프라인마케팅",7,3,"50334861,50123076,50359645"
"#마케팅·홍보·조사","B2B마케팅",7,3,"50430377,50507360,50356364"
"#마케팅·홍보·조사","퍼포먼스마케팅",6,3,"50431321,50472296,50463576"
"#마케팅·홍보·조사","SNS마케팅",6,3,"50472296,50498368,50359645"
"#마케팅·홍보·조사","블로그마케팅",6,3,"50430377,50426974,50366682"
"#마케팅·홍보·조사","모바일마케팅",4,3,"50480777,50482428,50262885"
"#마케팅·홍보·조사","광고PD",4,3,"50496250,50324602,50360311"
"#마케팅·홍보·조사","미디어플래너",3,3,"50051345,50480777,50171061"
"#마케팅·홍보·조사","AM(어카운트매니저)",3,3,"50348521,50315206,50262885"
"#마케팅·홍보·조사","제휴마케팅",3,3,"50315206,50429867,50262885"
"#마케팅·홍보·조사","AD(아트디렉터)",3,3,"50426113,50483975,50485225"
"#마케팅·홍보·조사","프로덕트마케팅",2,2,"50315206,50497471"
"#마케팅·홍보·조사","CRM마케팅",2,2,"50315206,50498520"
"#마케팅·홍보·조사","BM(브랜드매니저)",2,2,"50424757,50443338"
"#마케팅·홍보·조사","CW(카피라이터)",2,2,"50483975,50485225"
"#마케팅·홍보·조사","체험마케팅",1,1,"50395651"
"#마케팅·홍보·조사","스포츠마케팅",1,1,"50471842"
"#마케팅·홍보·조사","비즈니스마케팅",1,1,"50498368"
"#미디어·문화·스포츠","기타",13,3,"50062661,50361366,50369785"
"#미디어·문화·스포츠","MC",12,3,"50397332,50456438,50498368"
"#미디어·문화·스포츠","인플루언서",12,3,"50315206,50431321,50472296"
"#미디어·문화·스포츠","AE(광고기획자)",10,3,"50498368,50359475,50413945"
"#미디어·문화·스포츠","에디터",10,3,"50442712,50472296,50413945"
"#미디어·문화·스포츠","PD/AD/FD",8,3,"50221441,50403042,50315931"
"#미디어·문화·스포츠","기자",4,3,"50295831,50290007,50369355"
"#미디어·문화·스포츠","AD(아트디렉터)",3,3,"50426113,50483975,50485225"
"#미디어·문화·스포츠","컬러리스트",2,2,"50087358,50306086"
"#미디어·문화·스포츠","CW(카피라이터)",2,2,"50483975,50485225"
"#미디어·문화·스포츠","큐레이터",2,2,"50505166,50507179"
"#미디어·문화·스포츠","DJ",1,1,"50316205"
"#미디어·문화·스포츠","아나운서",1,1,"50351241"
"#미디어·문화·스포츠","영상디자이너",1,1,"50410829"
"#미디어·문화·스포츠","크리에이터",1,1,"50428728"
"#미디어·문화·스포츠","작가",1,1,"50505166"
"#미디어·문화·스포츠","영화미술",1,1,"50505166"
"#미디어·문화·스포츠","통/번역",1,1,"50506661"
"#상품기획·md","기타",25,3,"50393972,50407410,50436221"
"#상품기획·md","기획MD",19,3,"50483251,50360622,50340802"
"#상품기획·md","온라인MD",11,3,"50092576,50417497,50327291"
"#상품기획·md","영업MD",10,3,"50270536,50157606,50392728"
"#상품기획·md","브랜드MD",7,3,"50360622,50500685,50405487"
"#상품기획·md","AMD",7,3,"50506814,50429777,50412177"
"#상품기획·md","패션MD",3,3,"50483251,50511734,50468873"
"#상품기획·md","유통MD",3,3,"50500685,50511734,50484433"
"#상품기획·md","식품MD",2,2,"50429777,50382644"
"#상품기획·md","리테일MD",2,2,"50382644,50468873"
"#상품기획·md","VMD",2,2,"50416138,50511734"
"#상품기획·md","오프라인MD",2,2,"50500685,50468873"
"#상품기획·md","바잉MD",1,1,"50511734"
"#생산","생산",272,3,"50033412,50056234,50107723"
"#생산","품질관리",68,3,"50043812,50072646,50172146"
"#생산","구조해석/설계",62,3,"50327814,50171838,50280893"
"#생산","생산관리",61,3,"50207616,50304831,50033412"
"#생산","제조",44,3,"50151384,50386418,50275547"
"#생산","기계설계",34,3,"50212049,50358119,50373478"
"#생산","기술엔지니어",33,3,"50164327,50234096,50200280"
"#생산","공정관리",31,3,"50254892,50338853,50386418"
"#생산","QA",28,3,"50210446,50055702,50417932"
"#생산","QC",27,3,"50043812,50314015,50317621"
"#생산","설계엔지니어",25,3,"50157118,50320336,50345855"
"#생산","생산기술",23,3,"50393122,50412478,50272458"
"#생산","기타",19,3,"50402084,50493380,50312934"
"#생산","기구설계",18,3,"50400793,50373478,50412737"
"#생산","기술설계",18,3,"50505348,50509708,50200280"
"#생산","공정엔지니어",17,3,"50505348,50509708,50212049"
"#생산","제품설계",15,3,"50373478,50439123,50505871"
"#생산","회로설계",14,3,"50459316,50462015,50311929"
"#생산","공정설계",14,3,"50151384,50275547,50458379"
"#생산","생산설계",14,3,"50436180,50151384,50358119"
"#생산","부품설계",13,3,"50373478,50439123,50493873"
"#생산","전기제어",12,3,"50292450,50311722,50509511"
"#생산","자동화설계",11,3,"50212049,50499306,50311722"
"#생산","안전보건관리자",11,3,"50414201,50462198,50462805"
"#생산","자동제어",10,3,"50355594,50280893,50034452"
"#생산","전기설계",10,3,"50509511,50338857,50439917"
"#생산","전자제어",8,3,"50292450,50034452,50505885"
"#생산","PSM",7,3,"50079364,50079393,50498553"
"#생산","금형설계",6,3,"50468399,50327814,50171838"
"#생산","제조가공",6,3,"50509605,50390223,50510184"
"#생산","시스템설계",5,3,"50477463,50482156,50318919"
"#생산","전장설계",5,3,"50493873,50462015,50477463"
"#생산","장비제어",4,3,"50034452,50505885,50325048"
"#생산","계장설계",4,3,"50164327,50234096,50439917"
"#생산","반도체설계",4,3,"50428183,50200247,50325048"
"#생산","설비OP",3,3,"50338857,50424918,50338844"
"#생산","플랜트설계",2,2,"50345855,50018358"
"#생산","프로그램설계",2,2,"50034452,50139672"
"#생산","장비설계",2,2,"50325048,50413039"
"#생산","펌프설계",2,2,"50424595,50426362"
"#생산","기계조작원",1,1,"50373478"
"#생산","조선설계",1,1,"50400958"
"#생산","외관검사원",1,1,"50404594"
"#생산","단순생산직",1,1,"50458071"
"#생산","용접원",1,1,"50509511"
"#생산","절단가공",1,1,"50509511"
"#서비스","기타",15,3,"50299921,50361366,50268145"
"#서비스","양조사",1,1,"50092989"
"#서비스","영양사",1,1,"50291098"
"#서비스","호텔리어",1,1,"50327148"
"#서비스","GRO(컨시어지)",1,1,"50327148"
"#서비스","정비기사",1,1,"50372807"
"#서비스","A/S기사",1,1,"50372807"
"#서비스","가전제품설치",1,1,"50372807"
"#서비스","주차요원",1,1,"50386021"
"#서비스","행사도우미",1,1,"50386021"
"#서비스","스타일리스트",1,1,"50416138"
"#서비스","바리스타",1,1,"50481789"
"#서비스","지상직",1,1,"50510531"
"#연구·r&d","R&D",195,3,"49982373,50158346,47944456"
"#연구·r&d","기타",128,3,"50198922,50171902,50200343"
"#연구·r&d","연구원",67,3,"49982373,50293125,50221847"
"#연구·r&d","R&D기획",42,3,"47944456,49982373,50318641"
"#연구·r&d","CRA(임상연구원)",3,3,"50436092,50436102,49982373"
"#연구·r&d","인증심사원",3,3,"50346186,50436592,50482730"
"#연구·r&d","임상PM",2,2,"50293125,50474310"
"#연구·r&d","CRM(임상연구전문가)",2,2,"50326345,50430909"
"#연구·r&d","로봇엔지니어",2,2,"50442969,50343190"
"#연구·r&d","CRC(연구간호사)",1,1,"50202126"
"#연구·r&d","대기측정분석사",1,1,"50411996"
"#연구·r&d","임상DM",1,1,"50474310"
"#영업·판매·무역","영업",283,3,"50016497,50020618,50051159"
"#영업·판매·무역","영업관리",88,3,"50176763,50016497,50283303"
"#영업·판매·무역","해외영업",77,3,"50283303,50289720,50215008"
"#영업·판매·무역","영업직",61,3,"50223881,50270536,50016497"
"#영업·판매·무역","기술영업",47,3,"50016497,50051159,50224909"
"#영업·판매·무역","영업기획",33,3,"50439277,50292272,50372355"
"#영업·판매·무역","영업전략",31,3,"50270536,50335513,50352986"
"#영업·판매·무역","영업지원",24,3,"50337752,50342198,50494304"
"#영업·판매·무역","영업마케팅",22,3,"50338517,50462532,50157606"
"#영업·판매·무역","제약영업",14,3,"50422235,50294758,50411914"
"#영업·판매·무역","해외시장개척",14,3,"50335317,50473655,50415477"
"#영업·판매·무역","장비영업",11,3,"50373915,50402365,50461665"
"#영업·판매·무역","영업MD",10,3,"50270536,50157606,50392728"
"#영업·판매·무역","의료기기영업",9,3,"50393330,50500682,50209614"
"#영업·판매·무역","해상무역",9,3,"50252500,50263475,50301105"
"#영업·판매·무역","영업판촉",9,3,"50270536,50416843,50033005"
"#영업·판매·무역","포워더",9,3,"50337003,50341453,50346709"
"#영업·판매·무역","무역MR",6,3,"50301105,50288678,50332597"
"#영업·판매·무역","기타",6,3,"50126093,50305339,50165502"
"#영업·판매·무역","의류무역",6,3,"50289720,50247681,50346142"
"#영업·판매·무역","화장품영업",6,3,"50335317,50270536,50338517"
"#영업·판매·무역","솔루션기술영업",5,3,"50338517,50382389,50349050"
"#영업·판매·무역","식품/음료영업",5,3,"50442166,50459085,50416843"
"#영업·판매·무역","시스템영업",4,3,"50499002,50341279,50202288"
"#영업·판매·무역","무역경리",4,3,"50252500,50313101,50381214"
"#영업·판매·무역","무역중개인",4,3,"50301105,50332597,50500714"
"#영업·판매·무역","항공무역",4,3,"50381214,50481695,50342198"
"#영업·판매·무역","자재판매",3,3,"50473764,50302366,50061362"
"#영업·판매·무역","IT영업",3,3,"50223181,50424794,50202288"
"#영업·판매·무역","자동차영업",3,3,"50202480,50414239,50436304"
"#영업·판매·무역","무역사무원",3,3,"50462532,50274249,50219545"
"#영업·판매·무역","온라인판매",3,3,"50223181,50273898,50429777"
"#영업·판매·무역","국제무역사",3,3,"50392728,50372992,50262366"
"#영업·판매·무역","네트워크영업",3,3,"50338517,50494741,50499002"
"#영업·판매·무역","식품/음료판매",3,3,"50459085,50433015,50429777"
"#영업·판매·무역","건설영업",3,3,"50469961,50470103,50460599"
"#영업·판매·무역","SI영업",2,2,"50499002,50202288"
"#영업·판매·무역","기계판매",2,2,"50202480,50349717"
"#영업·판매·무역","화장품판매",2,2,"50270536,50304110"
"#영업·판매·무역","가구판매",1,1,"50279894"
"#영업·판매·무역","가전판매",1,1,"50279894"
"#영업·판매·무역","부동산영업",1,1,"50327148"
"#영업·판매·무역","호텔영업",1,1,"50327148"
"#영업·판매·무역","증권영업",1,1,"50337752"
"#영업·판매·무역","상조영업",1,1,"50337752"
"#영업·판매·무역","광고영업",1,1,"50338517"
"#영업·판매·무역","잡화판매",1,1,"50392728"
"#영업·판매·무역","주류영업",1,1,"50414239"
"#영업·판매·무역","건강식품판매",1,1,"50429777"
"#영업·판매·무역","샵마스터",1,1,"50472201"
"#영업·판매·무역","판매직",1,1,"50485094"
"#영업·판매·무역","보세사",1,1,"50494211"
"#운전·운송·배송","통관",16,3,"50208684,50341453,50431954"
"#운전·운송·배송","운전",14,3,"50061389,50369097,50462548"
"#운전·운송·배송","포워더",9,3,"50337003,50341453,50346709"
"#운전·운송·배송","해상운송",5,3,"50337003,50415411,50331710"
